序号,分类,越南语,中文,级别,词性
362,十一、核心动词、形容词、连词与高频成语,bước đầu,初步,A1-B1,d.
363,五、交通出行、海关通关、地理与东南亚国家,theo kịp catch up,达到 / 跟上,A1-B1,
364,八、商务经贸、合同条款与物流生产,xem xét,考虑,A1-B1,đg.
365,八、商务经贸、合同条款与物流生产,nêu ra,提出,A1-B1,
366,十一、核心动词、形容词、连词与高频成语,bỏ nghề quit,辞职,A1-B1,
367,五、交通出行、海关通关、地理与东南亚国家,chuyển đổi nghề change,改行,A1-B1,
368,八、商务经贸、合同条款与物流生产,yêu nghề love,敬业,A1-B1,
369,二、时间、日期、月份与周期,bậc tiểu học elementary,小学阶段,A1-B1,
370,二、时间、日期、月份与周期,bậc trung học middle,中学阶段,A1-B1,
371,五、交通出行、海关通关、地理与东南亚国家,tuyển được,招到,A1-B1,
372,一、数字、量词与度量衡,thừa,多余,A1-B1,t.
373,十一、核心动词、形容词、连词与高频成语,trường,学校,A1-B1,d.
374,十一、核心动词、形容词、连词与高频成语,chuyển lên move,向上跳巢,A1-B1,
375,五、交通出行、海关通关、地理与东南亚国家,vô cơ,无机,A1-B1,t.
376,一、数字、量词与度量衡,giảm thiểu,减少,A1-B1,
377,十、医疗健康、人体疾病与紧急求助,rác thải y tế,医疗垃圾,A1-B1,
378,十一、核心动词、形容词、连词与高频成语,tương xứng,相符,A1-B1,t.
379,六、购物百货、服装尺码、颜色与售后,đắt hơn,更贵,A1-B1,
380,六、购物百货、服装尺码、颜色与售后,rẻ hơn,更便宜,A1-B1,
381,八、商务经贸、合同条款与物流生产,tương xứng với,与... 相配,A1-B1,
382,十一、核心动词、形容词、连词与高频成语,không... cũng không,不……也不,A1-B1,
383,十一、核心动词、形容词、连词与高频成语,điền,填,未标注,đg.
384,七、酒店住宿、房屋租赁与日常家务,danh sách,名单,未标注,d.
385,二、时间、日期、月份与周期,hiện nay,现在,未标注,d.
386,二、时间、日期、月份与周期,tuần,星期/周,未标注,d.
387,二、时间、日期、月份与周期,dịp,期间 / 机会,未标注,d.
388,七、酒店住宿、房屋租赁与日常家务,qu ê,家乡,未标注,d.
389,二、时间、日期、月份与周期,lễ,节假日,未标注,d.
390,六、购物百货、服装尺码、颜色与售后,chỗ trống,空白处,未标注,
391,十二、常用口语短句（高频）,em ấy he/ she,她,未标注,
392,三、人称代词、家庭亲属与职场社交,anh em tôi,我们兄妹,未标注,
393,十一、核心动词、形容词、连词与高频成语,mỗi ... một,每一个,未标注,
394,六、购物百货、服装尺码、颜色与售后,trường đại học,大学（具体存在的学校）,未标注,
395,三、人称代词、家庭亲属与职场社交,bố tôi,我爸爸,未标注,
396,十一、核心动词、形容词、连词与高频成语,th í ch ... hơn like......,更喜欢,未标注,
397,十一、核心动词、形容词、连词与高频成语,được nghỉ hè,得放暑假,未标注,
398,二、时间、日期、月份与周期,nghỉ Tết Lunar New,放寒假 / 有春节假期,未标注,
399,三、人称代词、家庭亲属与职场社交,em ruột sibling,亲妹妹,未标注,
400,十一、核心动词、形容词、连词与高频成语,thế là,就这样,未标注,k.
401,九、金融理财、股市交易与外汇结算,kết th úc,结束,未标注,đg.
402,九、金融理财、股市交易与外汇结算,việc,事情,未标注,d.
403,八、商务经贸、合同条款与物流生产,việc làm,工作,未标注,d.
404,五、交通出行、海关通关、地理与东南亚国家,trởvề,回来,未标注,đg.
405,十一、核心动词、形容词、连词与高频成语,bà y tỏ,表示,未标注,đg.
406,八、商务经贸、合同条款与物流生产,đoạn trích,摘录/节选,未标注,
407,十一、核心动词、形容词、连词与高频成语,đólà,那是,未标注,
408,十一、核心动词、形容词、连词与高频成语,ởđ ó,那里,未标注,
409,六、购物百货、服装尺码、颜色与售后,sau này,以后,未标注,
410,八、商务经贸、合同条款与物流生产,lễ hội,庙会,未标注,d.
411,七、酒店住宿、房屋租赁与日常家务,qu ê hương,家乡,未标注,d.
412,三、人称代词、家庭亲属与职场社交,lớp của tớ,我的班,A1,
413,三、人称代词、家庭亲属与职场社交,lớp của anh,你的班,A1,
414,三、人称代词、家庭亲属与职场社交,lớp của họ,他们的班,A1,
415,二、时间、日期、月份与周期,thứ sá u,星期五,A1,d.
416,十一、核心动词、形容词、连词与高频成语,vâng,是 的 / 嗯,A1,c.
417,十一、核心动词、形容词、连词与高频成语,thanh nặng,重声,A1,d.
418,十一、核心动词、形容词、连词与高频成语,hình như may be/,好像,A1,
419,一、数字、量词与度量衡,nóng ơi là nóng,多么热啊,A1,
420,十一、核心动词、形容词、连词与高频成语,Mai,梅,A2,d.
421,一、数字、量词与度量衡,gọi điện thoại,打电话,A2,
422,五、交通出行、海关通关、地理与东南亚国家,ra ngoài,出去,A2,
423,三、人称代词、家庭亲属与职场社交,người nghe điện thoại,接听人,A2,
424,三、人称代词、家庭亲属与职场社交,người đà,男人,A2,
425,六、购物百货、服装尺码、颜色与售后,đô l,美金/美元,A2,
426,十一、核心动词、形容词、连词与高频成语,xá ch,提,A2,đg.
427,十一、核心动词、形容词、连词与高频成语,năng,重,A2,t.
428,三、人称代词、家庭亲属与职场社交,mì nh,我,A2,đ.
429,十二、常用口语短句（高频）,được không,好吗/行吗,A2,
430,十、医疗健康、人体疾病与紧急求助,lo,担心,A2,đg.
431,十二、常用口语短句（高频）,không saođâu/không sao,没什么/没关系,A2,
432,十一、核心动词、形容词、连词与高频成语,không có vấ n đề gì,没问题,A2,
433,十一、核心动词、形容词、连词与高频成语,kiêng,禁忌,A2,đg.
434,五、交通出行、海关通关、地理与东南亚国家,gì cũng được anyt,什么都行,A2,
435,十二、常用口语短句（高频）,Em cứ ăn thoải mái đi Make yourself,你随便吃吧,A2,
436,四、餐饮美食、水果特产与生活调料,đồ ăn nhanh,快餐,A2,
437,二、时间、日期、月份与周期,tối mai,明晚,A2,
438,八、商务经贸、合同条款与物流生产,tiếc quá,太可惜了,A2,
439,三、人称代词、家庭亲属与职场社交,một chút,一会儿,A2,
440,十一、核心动词、形容词、连词与高频成语,lâu đời,悠久,A2,t.
441,七、酒店住宿、房屋租赁与日常家务,lý do,理由,A2,d.
442,五、交通出行、海关通关、地理与东南亚国家,du khách,游客,A2,d.
443,六、购物百货、服装尺码、颜色与售后,đặc sắc,特色 / 独特,A2,t.
444,十一、核心动词、形容词、连词与高频成语,bài nghe,听力课文,A2,
445,十一、核心动词、形容词、连词与高频成语,nền vă n hóa,文化,A2,
446,八、商务经贸、合同条款与物流生产,nổi bật,突出,A2,t.
447,五、交通出行、海关通关、地理与东南亚国家,núi non,山峦,A2,d.
448,十一、核心动词、形容词、连词与高频成语,hù ng v ī,雄伟,A2,t.
449,五、交通出行、海关通关、地理与东南亚国家,bã i biển,海滩,A2,d.
450,六、购物百货、服装尺码、颜色与售后,xanh ngắt,很蓝,A2,t.
451,五、交通出行、海关通关、地理与东南亚国家,thung lũng,山谷,A2,d.
452,五、交通出行、海关通关、地理与东南亚国家,phía Nam,南部,A2,
453,七、酒店住宿、房屋租赁与日常家务,ruộng bậc,梯田,A2,
454,三、人称代词、家庭亲属与职场社交,tranh vẽ picture,画儿,A2,
455,二、时间、日期、月份与周期,chợ Đồng Xuân Dong Xu,同春市场,A2,
456,二、时间、日期、月份与周期,từ k,从什么时候,A2,
457,二、时间、日期、月份与周期,hàng nghìn năm trước thousands,数千年前,A2,
458,八、商务经贸、合同条款与物流生产,trải nghiệm,体验,A2,d.
459,八、商务经贸、合同条款与物流生产,nghệ thuật,艺术,A2,d.
460,十一、核心动词、形容词、连词与高频成语,kh ám ph á,探索,A2,đg.
461,五、交通出行、海关通关、地理与东南亚国家,điểm đến,目的地,A2,
462,五、交通出行、海关通关、地理与东南亚国家,quan niệm,观念,A2,d.
463,十一、核心动词、形容词、连词与高频成语,đá m cưới,婚礼,A2,đg.
464,九、金融理财、股市交易与外汇结算,cưới hỏi,结婚,A2,đg.
465,八、商务经贸、合同条款与物流生产,nền nông ng,农业,A2,
466,二、时间、日期、月份与周期,trong năm,年内,A2,
467,一、数字、量词与度量衡,cường độ,强度,B1,d.
468,十一、核心动词、形容词、连词与高频成语,các,各,B1,d.
469,八、商务经贸、合同条款与物流生产,gia tăng,增加,B1,đg.
470,七、酒店住宿、房屋租赁与日常家务,không khí lạnh c,冷空气,B1,
471,二、时间、日期、月份与周期,năm trước,去年,B1,
472,十二、常用口语短句（高频）,như thế nào,怎么样,B1,
473,一、数字、量词与度量衡,giảm xuống,减少,B1,
474,九、金融理财、股市交易与外汇结算,trung bình,平均,B1,t.
475,六、购物百货、服装尺码、颜色与售后,tổng lượng mưa,降雨总量,B1,
476,五、交通出行、海关通关、地理与东南亚国家,Bắc bộ nor,北部,B1,
477,十一、核心动词、形容词、连词与高频成语,ch án,无聊,B1,đ.
478,二、时间、日期、月份与周期,Tiệc trăng máu Blood Mo,血月宴(电影名称),B1,
479,七、酒店住宿、房屋租赁与日常家务,rạp,电影院,B1,d.
480,五、交通出行、海关通关、地理与东南亚国家,trung tâm chiếu phim quốc gia,国家影视中心,B1,
481,二、时间、日期、月份与周期,Rap Lotte Lotte Cinema,乐天影城,B1,
482,二、时间、日期、月份与周期,Rạ p Tháng Tám T,八月影城,B1,
483,三、人称代词、家庭亲属与职场社交,anh ấy he,他,B1,
484,九、金融理财、股市交易与外汇结算,hủy,取消,B1,đg.
485,十一、核心动词、形容词、连词与高频成语,to àn bộ,全部,B1,d.
486,一、数字、量词与度量衡,một nử,一半,B1,
487,八、商务经贸、合同条款与物流生产,th êm,增加,B1,đg.
488,十、医疗健康、人体疾病与紧急求助,phổi,肺,B1,d.
489,六、购物百货、服装尺码、颜色与售后,si êu âm,B超,B1,đg.
490,三、人称代词、家庭亲属与职场社交,ông gi à,老爷,B1,d.
491,十、医疗健康、人体疾病与紧急求助,lo láng,担心,B1,đg.
492,九、金融理财、股市交易与外汇结算,căng thẳng,紧张,B1,t.
493,十一、核心动词、形容词、连词与高频成语,nhìn xuống,俯瞰,B1,
494,五、交通出行、海关通关、地理与东南亚国家,dòng sông,（条）河,B1,
495,三、人称代词、家庭亲属与职场社交,ông áy,他,B1,
496,五、交通出行、海关通关、地理与东南亚国家,ngắm nhìn,观看,B1,
497,十一、核心动词、形容词、连词与高频成语,chiếc lá,叶子,B1,
498,十一、核心动词、形容词、连词与高频成语,khiến,让,B1,đg.
499,十一、核心动词、形容词、连词与高频成语,trởn ên,变成,B1,đg.
500,八、商务经贸、合同条款与物流生产,chảy,流,B1,đg.
501,十一、核心动词、形容词、连词与高频成语,lo âu,担忧/忧虑,B1,đg.
502,九、金融理财、股市交易与外汇结算,yên bình,平静,B1,t.
503,八、商务经贸、合同条款与物流生产,tìm cách,设法,B1,đg.
504,四、餐饮美食、水果特产与生活调料,đối mặt,面对,B1,đg.
505,三、人称代词、家庭亲属与职场社交,cuộc sống của ông già,老爷的生活,B1,
506,四、餐饮美食、水果特产与生活调料,nước sông,河水,B1,
507,四、餐饮美食、水果特产与生活调料,trôi theo dòng nước,跟着水流消失,B1,
508,五、交通出行、海关通关、地理与东南亚国家,nhắc đến,提到,B2,
509,八、商务经贸、合同条款与物流生产,môn thể thao,体育项目,B2,
510,十一、核心动词、形容词、连词与高频成语,vị tr í,位置,B2,d.
511,七、酒店住宿、房屋租赁与日常家务,thủ môn,守门员,B2,d.
512,六、购物百货、服装尺码、颜色与售后,hậu vệ,后卫,B2,d.
513,十一、核心动词、形容词、连词与高频成语,tiền đạo,前锋,B2,d.
514,七、酒店住宿、房屋租赁与日常家务,tiền vệ,前卫,B2,d.
515,十一、核心动词、形容词、连词与高频成语,hiện tượng,现象,B2,d.
516,三、人称代词、家庭亲属与职场社交,nhận thức/,认识,B2,d.
517,八、商务经贸、合同条款与物流生产,hợp tá c,合作,B2,đg.
518,九、金融理财、股市交易与外汇结算,tí ch hợp,融入,B2,đg.
519,十一、核心动词、形容词、连词与高频成语,biện pháp,办法,B2,d.
520,八、商务经贸、合同条款与物流生产,sá ng tạo,创造,B2,t.
521,八、商务经贸、合同条款与物流生产,tác dụng,作用,B2,d.
522,九、金融理财、股市交易与外汇结算,calo,卡洛里,B2,d.
523,四、餐饮美食、水果特产与生活调料,nước ép hoa quả,果汁,B2,
524,十、医疗健康、人体疾病与紧急求助,da sáng khỏe smooth,健康亮丽的皮肤,B2,
525,八、商务经贸、合同条款与物流生产,công dụng,作用,B2,d.
526,十一、核心动词、形容词、连词与高频成语,chóng,抗,B2,đg.
527,十一、核心动词、形容词、连词与高频成语,ngăn ngừa,防止,B2,đg.
528,九、金融理财、股市交易与外汇结算,tổn thương,损伤,B2,đg.
529,十一、核心动词、形容词、连词与高频成语,tế bà o,细胞,B2,d.
530,十一、核心动词、形容词、连词与高频成语,hệ tiêu hó,消化系统,B2,
531,六、购物百货、服装尺码、颜色与售后,cân năng,重量 /体重,B2,
532,五、交通出行、海关通关、地理与东南亚国家,bù ng nổ,爆发,B2,đg.
533,六、购物百货、服装尺码、颜色与售后,só lượng,数量,B2,d.
534,八、商务经贸、合同条款与物流生产,hạ tầng,基础设施,B2,d.
535,五、交通出行、海关通关、地理与东南亚国家,điện thoại thông,智能手机,B2,
536,十一、核心动词、形容词、连词与高频成语,nổi lên tobe popular/ tobe,兴起,B2,
537,十一、核心动词、形容词、连词与高频成语,đà o tạo,培训,B2,đg.
538,九、金融理财、股市交易与外汇结算,ứng dụng,应用,B2,d.
539,三、人称代词、家庭亲属与职场社交,nguồn nhân lực hu,人力资源,B2,
540,八、商务经贸、合同条款与物流生产,sự kết hợp,结合 ( 名 词 ),B2,
541,八、商务经贸、合同条款与物流生产,giao tiếp,交际,未标注,d
542,十一、核心动词、形容词、连词与高频成语,lâu,久,未标注,t.
543,十一、核心动词、形容词、连词与高频成语,dẫn,带,未标注,đg.
544,六、购物百货、服装尺码、颜色与售后,hàng,货,未标注,d.
545,三、人称代词、家庭亲属与职场社交,người Việt N,越南人,未标注,
546,五、交通出行、海关通关、地理与东南亚国家,những tình huống,这些情景,未标注,
547,十一、核心动词、形容词、连词与高频成语,mong rằng,希望,未标注,
548,十二、常用口语短句（高频）,bị làm sao,怎么了,未标注,
549,五、交通出行、海关通关、地理与东南亚国家,tì m được,找到,未标注,
550,八、商务经贸、合同条款与物流生产,mục đí ch,目的,未标注,đg.
551,十一、核心动词、形容词、连词与高频成语,vui chơi,玩乐,未标注,đg.
552,十一、核心动词、形容词、连词与高频成语,giải tr í,娱乐,未标注,đg.
553,六、购物百货、服装尺码、颜色与售后,thể chất,体质,未标注,d.
554,十、医疗健康、人体疾病与紧急求助,camera,摄像头,未标注,d.
555,十一、核心动词、形容词、连词与高频成语,giám sát,监控,未标注,đg.
556,十一、核心动词、形容词、连词与高频成语,nhắc nhở,提醒,未标注,đg.
557,五、交通出行、海关通关、地理与东南亚国家,sự phát triển,发展,未标注,
558,十一、核心动词、形容词、连词与高频成语,những ảnh hưởng,影响,未标注,
559,十一、核心动词、形容词、连词与高频成语,nạn miệt thị ngoại hình,身体羞辱,未标注,
560,十一、核心动词、形容词、连词与高频成语,vấn nạn,严重的问题,未标注,
561,二、时间、日期、月份与周期,trưởng thành,成年,A1-B1,đg.
562,八、商务经贸、合同条款与物流生产,chế biến,加工,A1-B1,đg.
563,三、人称代词、家庭亲属与职场社交,ông Lâm,林先生,A1-B1,
564,三、人称代词、家庭亲属与职场社交,bà Huệ Ms. Hue,惠女士,A1-B1,
565,七、酒店住宿、房屋租赁与日常家务,khu chung cư apartment complex,公寓,A1-B1,
566,三、人称代词、家庭亲属与职场社交,người c,女儿,A1-B1,
567,十二、常用口语短句（高频）,những người con của họ,他们的孩子,A1-B1,
568,七、酒店住宿、房屋租赁与日常家务,lập gia đình,成 家 / 结 婚,A1-B1,
569,十一、核心动词、形容词、连词与高频成语,các c,孩子们,A1-B1,
570,八、商务经贸、合同条款与物流生产,những nguyên liệu,原料,A1-B1,
571,十一、核心动词、形容词、连词与高频成语,thay vì instead,(而),A1-B1,
572,四、餐饮美食、水果特产与生活调料,thực phẩm chế biến sẵn,熟菜,A1-B1,
573,三、人称代词、家庭亲属与职场社交,tự tay,亲手,A1-B1,
574,四、餐饮美食、水果特产与生活调料,tươi ng,新鲜,A1-B1,
575,七、酒店住宿、房屋租赁与日常家务,cả nh à,全家,A1-B1,
576,二、时间、日期、月份与周期,đồ dùng hàng ngày,日常用品,A1-B1,
577,八、商务经贸、合同条款与物流生产,thư kí,秘书,A1-B1,d.
578,十一、核心动词、形容词、连词与高频成语,theo đuổi,追求,A1-B1,đg.
579,五、交通出行、海关通关、地理与东南亚国家,nhắc,提到,A1-B1,đg.
580,三、人称代词、家庭亲属与职场社交,con gái đầu lòng,大女儿,A1-B1,
581,三、人称代词、家庭亲属与职场社交,gia đình ông Lâm,林先生家,A1-B1,
582,八、商务经贸、合同条款与物流生产,đi công tác,出差,A1-B1,
583,一、数字、量词与度量衡,ngoài ba mươi,三十多,A1-B1,
584,一、数字、量词与度量衡,nhiều lần,多,A1-B1,
585,七、酒店住宿、房屋租赁与日常家务,tính đến chuyện gia đình,考虑成家之事,A1-B1,
586,三、人称代词、家庭亲属与职场社交,chàng trai,小伙子 /男人,A1-B1,
587,九、金融理财、股市交易与外汇结算,chuyện kết hôn,结婚之事,A1-B1,
588,十一、核心动词、形容词、连词与高频成语,nói rằng,说,A1-B1,
589,八、商务经贸、合同条款与物流生产,tiến sĩ,博士,A1-B1,d.
590,十一、核心动词、形容词、连词与高频成语,học hà nh,学习,A1-B1,đg.
591,三、人称代词、家庭亲属与职场社交,ý trung nhân,喜欢的人 / 意中人,A1-B1,d.
592,十一、核心动词、形容词、连词与高频成语,con trai thứ,次子,A1-B1,
593,六、购物百货、服装尺码、颜色与售后,bệnh viện Bạch,白梅医院,A1-B1,
594,一、数字、量词与度量衡,không mấy khi not,很少,A1-B1,
595,二、时间、日期、月份与周期,một tuần,一周,A1-B1,
596,二、时间、日期、月份与周期,đế n giờ,到现在,A1-B1,
597,七、酒店住宿、房屋租赁与日常家务,vẫn chưa,还没,A1-B1,
598,五、交通出行、海关通关、地理与东南亚国家,tì m được found,找到,A1-B1,
599,十一、核心动词、形容词、连词与高频成语,ước mơ,梦想,A1-B1,d.
600,十一、核心动词、形容词、连词与高频成语,bởi vậy,因此/所以,A1-B1,k.
601,十一、核心动词、形容词、连词与高频成语,con tra i út,幼子,A1-B1,
602,六、购物百货、服装尺码、颜色与售后,sinh viên năm thứ ba,大三,A1-B1,
603,六、购物百货、服装尺码、颜色与售后,trường Đại học Sân khấu Điện ảnh,戏剧电影大学,A1-B1,
604,十一、核心动词、形容词、连词与高频成语,cao hơn,比……更,A1-B1,
605,十一、核心动词、形容词、连词与高频成语,đi đóng phim,演戏,A1-B1,
606,十一、核心动词、形容词、连词与高频成语,đi làm thêm,兼职,A1-B1,
607,八、商务经贸、合同条款与物流生产,hãng phim,制片厂,A1-B1,
608,五、交通出行、海关通关、地理与东南亚国家,nghề diễn,演员行业,A1-B1,
609,十一、核心动词、形容词、连词与高频成语,tinh thần,精神,A1-B1,d.
610,二、时间、日期、月份与周期,những ngày cuối tuần,周末,A1-B1,
611,三、人称代词、家庭亲属与职场社交,cả nhà ông Lâm,林先生全家,A1-B1,
612,十一、核心动词、形容词、连词与高频成语,nơi đây,这里,A1-B1,
613,十一、核心动词、形容词、连词与高频成语,gàip cho,帮助,A1-B1,
614,十一、核心动词、形容词、连词与高频成语,vdi nhau,相互,A1-B1,
615,五、交通出行、海关通关、地理与东南亚国家,not i,地方,A1-B1,d.
616,十一、核心动词、形容词、连词与高频成语,ké hoạch,计划,A1-B1,d.
617,十一、核心动词、形容词、连词与高频成语,Mũi Né,美奈,A1-B1,d.
618,五、交通出行、海关通关、地理与东南亚国家,tà u hỏa,火车,A1-B1,d.
619,十一、核心动词、形容词、连词与高频成语,tuy,虽然,A1-B1,k.
620,五、交通出行、海关通关、地理与东南亚国家,từ... đến,从 ... 到,A1-B1,
621,二、时间、日期、月份与周期,dip hè,夏天,A1-B1,
622,五、交通出行、海关通关、地理与东南亚国家,ra nước ngoài,出国,A1-B1,
623,五、交通出行、海关通关、地理与东南亚国家,trong nước inbound tourism,国内,A1-B1,
624,十一、核心动词、形容词、连词与高频成语,đỡ mệt,缓解疲劳,A1-B1,
625,二、时间、日期、月份与周期,đã từng,曾经,A1-B1,
626,五、交通出行、海关通关、地理与东南亚国家,đi biển,去海边,A1-B1,
627,八、商务经贸、合同条款与物流生产,công nhận,公认,A1-B1,đg.
628,八、商务经贸、合同条款与物流生产,di sản,遗产,A1-B1,d.
629,十一、核心动词、形容词、连词与高频成语,đé n thờ,寺庙,A1-B1,d.
630,八、商务经贸、合同条款与物流生产,gợi ý,建议,A1-B1,đg.
631,十一、核心动词、形容词、连词与高频成语,độc giả,读者,A1-B1,d.
632,十一、核心动词、形容词、连词与高频成语,gh é thăm,访问,A1-B1,đg.
633,十一、核心动词、形容词、连词与高频成语,UNESCOUNESCO,教科文组织,A1-B1,
634,三、人称代词、家庭亲属与职场社交,công viên hoang dã Sa,野生公园,A1-B1,
635,五、交通出行、海关通关、地理与东南亚国家,kỳ qu,自然奇观,A1-B1,
636,十一、核心动词、形容词、连词与高频成语,mới đây,最近,A1-B1,
637,八、商务经贸、合同条款与物流生产,chọn ra,选出,A1-B1,
638,五、交通出行、海关通关、地理与东南亚国家,Vinh Ha Long Ha,下龙湾,A1-B1,
639,五、交通出行、海关通关、地理与东南亚国家,Phố cổ Hội An Hoian,会安古街,A1-B1,
640,五、交通出行、海关通关、地理与东南亚国家,Vườn quốc gi,格邦国家 公园,A1-B1,
641,七、酒店住宿、房屋租赁与日常家务,được lọt vào danh sách,被列入名单,A1-B1,
642,十一、核心动词、形容词、连词与高频成语,quần thể,群体,A1-B1,d.
643,五、交通出行、海关通关、地理与东南亚国家,kỳ quan,奇观,A1-B1,d.
644,八、商务经贸、合同条款与物流生产,quy mô,规模,A1-B1,d.
645,五、交通出行、海关通关、地理与东南亚国家,đá ng kể,显著地,A1-B1,t.
646,十一、核心动词、形容词、连词与高频成语,mã ng đá,石笋,A1-B1,d.
647,十一、核心动词、形容词、连词与高频成语,nh ũđ á,钟乳石,A1-B1,d.
648,十一、核心动词、形容词、连词与高频成语,trang trại,农庄,A1-B1,d.
649,一、数字、量词与度量衡,đứng đầu on,排名第一,A1-B1,
650,五、交通出行、海关通关、地理与东南亚国家,tinh Quảng Ninh Quang Ninh province,广宁省,A1-B1,
651,五、交通出行、海关通关、地理与东南亚国家,nú iđ á vôi limestone mountains,石灰岩山,A1-B1,
652,六、购物百货、服装尺码、颜色与售后,lớn nhỏ large,大小,A1-B1,
653,一、数字、量词与度量衡,lần đầu tiên,第一次,A1-B1,
654,十一、核心动词、形容词、连词与高频成语,chođến nay,至今,A1-B1,
655,一、数字、量词与度量衡,gần như n,几乎,A1-B1,
656,五、交通出行、海关通关、地理与东南亚国家,lượng khách,游客量,A1-B1,
657,五、交通出行、海关通关、地理与东南亚国家,chè o thuyền,划船,A1-B1,
658,二、时间、日期、月份与周期,động T,天宫洞,A1-B1,
659,五、交通出行、海关通关、地理与东南亚国家,bãi biển be,海滩,A1-B1,
660,五、交通出行、海关通关、地理与东南亚国家,ngoài khơi xa far,远海,A1-B1,
661,三、人称代词、家庭亲属与职场社交,trang trại nuôi hàu oyster,生蚝养殖场,A1-B1,
662,二、时间、日期、月份与周期,ngày nay,现在,A1-B1,d.
663,九、金融理财、股市交易与外汇结算,hiện diện,存在,A1-B1,đg.
664,四、餐饮美食、水果特产与生活调料,hội quán,会馆,A1-B1,d.
665,五、交通出行、海关通关、地理与东南亚国家,khu phố,街区,A1-B1,d.
666,五、交通出行、海关通关、地理与东南亚国家,được nhắc tới,被提到,A1-B1,
667,八、商务经贸、合同条款与物流生产,di sản vă n hó,世界文化遗产,A1-B1,
668,五、交通出行、海关通关、地理与东南亚国家,thị trấn cảng harb,港口小镇,A1-B1,
669,五、交通出行、海关通关、地理与东南亚国家,khắp châu Á,亚洲各地,A1-B1,
670,七、酒店住宿、房屋租赁与日常家务,vẫn còn,还 /仍然,A1-B1,
671,二、时间、日期、月份与周期,từng là,曾经,A1-B1,
672,三、人称代词、家庭亲属与职场社交,người Hoa,华人,A1-B1,
673,十一、核心动词、形容词、连词与高频成语,điểm nổi bật,亮点,A1-B1,
674,五、交通出行、海关通关、地理与东南亚国家,thắp sáng,照亮,A1-B1,
675,二、时间、日期、月份与周期,về đê m,夜晚,A1-B1,
676,八、商务经贸、合同条款与物流生产,vin h danh,公认,A1-B1,đg.
677,六、购物百货、服装尺码、颜色与售后,ti êu ch í,标准,A1-B1,d.
678,五、交通出行、海关通关、地理与东南亚国家,địa chất,地质,A1-B1,d.
679,五、交通出行、海关通关、地理与东南亚国家,địa mạo,地貌,A1-B1,d.
680,五、交通出行、海关通关、地理与东南亚国家,dựa theo,按照,A1-B1,
681,七、酒店住宿、房屋租赁与日常家务,được công nhận,被公认,A1-B1,
682,十一、核心动词、形容词、连词与高频成语,mô tả,描写/描述,A1-B1,đg.
683,十一、核心动词、形容词、连词与高频成语,mạch máu,命脉,A1-B1,d.
684,十一、核心动词、形容词、连词与高频成语,kỳ diệu,奇妙/神奇,A1-B1,t.
685,一、数字、量词与度量衡,ki lô mé t,公里,A1-B1,km
686,五、交通出行、海关通关、地理与东南亚国家,nh ét,塞,A1-B1,đg.
687,十一、核心动词、形容词、连词与高频成语,tuyệt đẹp magn,绝美,A1-B1,
688,十一、核心动词、形容词、连词与高频成语,hang Sơ n Đoòng S,韩松洞,A1-B1,
689,五、交通出行、海关通关、地理与东南亚国家,dòng sông ngầm,地下河流,A1-B1,
690,五、交通出行、海关通关、地理与东南亚国家,môi trường sống,栖息地,A1-B1,
691,五、交通出行、海关通关、地理与东南亚国家,dưới lò ng đất,地下,A1-B1,
692,一、数字、量词与度量衡,lớn đến mức,（程度）,A1-B1,
693,五、交通出行、海关通关、地理与东南亚国家,đón khách du lịch,接待旅客,A1-B1,
694,五、交通出行、海关通关、地理与东南亚国家,cảnh quan,景观,A1-B1,d.
695,十一、核心动词、形容词、连词与高频成语,chịu ảnh hưởng ...,受 … 影响,A1-B1,
696,二、时间、日期、月份与周期,vă n hó,日本文化,A1-B1,
697,十一、核心动词、形容词、连词与高频成语,vũ trụ,宇宙 2/3/2 D TESTS FOR VIETNAMESE PROFICIENCY,A1-B1,d.
698,九、金融理财、股市交易与外汇结算,ti êu,花费,A1-B1,đg.
699,十一、核心动词、形容词、连词与高频成语,phổ biến,普遍,A1-B1,t.
700,八、商务经贸、合同条款与物流生产,sự trải nghiệm,体验,A1-B1,
701,五、交通出行、海关通关、地理与东南亚国家,phi hành gia,飞行员,A1-B1,d.
702,十一、核心动词、形容词、连词与高频成语,dành cho,给,A1-B1,
703,三、人称代词、家庭亲属与职场社交,tất cả mọi người,所有人,A1-B1,
704,二、时间、日期、月份与周期,tháng Giêng,元月,未标注,d.
705,十一、核心动词、形容词、连词与高频成语,hoa mai,梅花,未标注,d.
706,二、时间、日期、月份与周期,tháng Chạp,腊月,未标注,d.
707,十一、核心动词、形容词、连词与高频成语,nu,花蕾,未标注,d.
708,十一、核心动词、形容词、连词与高频成语,lộc,嫩芽,未标注,d.
709,三、人称代词、家庭亲属与职场社交,gia chủ,主人,未标注,d.
710,十一、核心动词、形容词、连词与高频成语,hoa đà o,桃花,未标注,d.
711,十一、核心动词、形容词、连词与高频成语,được chơi,能,未标注,
712,二、时间、日期、月份与周期,chơi tết,过年,未标注,
713,十一、核心动词、形容词、连词与高频成语,mù ng 10,初十,未标注,
714,十一、核心动词、形容词、连词与高频成语,lá non,嫩叶,未标注,
715,十一、核心动词、形容词、连词与高频成语,đem đến,带来,未标注,
716,五、交通出行、海关通关、地理与东南亚国家,tươi vui,快乐,未标注,
